## 置顶词与自定义词组在这个文件里指定
## 格式：文本-输入码-权重，其间用 Tab 符分隔。
## 如要添加新的，可以复制已有的行，然后在其基础上修改。
## 置顶字词
何	jz	228010
接	uib	227523
目	qm	227134
反	xr	226725
变	zc	226721
变	zcr	226721
笑	rtm	226373
总	hd	226288
总	hdh	226288
入	ju	225933
认	sj	224674
条	he	224672
安	wb	224317
金	zj	221252
及	cj	220421
度	xlr	219778
让	syf	219778
山	vs	216616
马	nm	214937
受	ywr	212369
活	ka	211544
结	igd	211420
数	pb	210983
数	pbh	210983
直	nqf	210660
必	ht	209875
白	ub	208207
指	uv	207044
指	uvo	207044
张	bp	206981
报	uz	204557
论	sjl	203886
员	do	203877
义	ib	203251
放	lh	202795
电	oa	202454
至	yi	200722
五	wu	200272
系	tis	197617
难	rui	197375
命	jdz	196903
建	bu	196517
尔	xyx	196412
件	jq	195491
死	gv	195019
保	jde	193839
完	wmp	193650
许	se	192571
许	sen	192571
题	ot	192180
题	otw	192180
场	ga	192172
空	eu	190600
计	sn	187463
怎	wh	187039
光	mg	186962
管	rwk	186728
非	rf	185852
德	wn	184202
德	wny	184202
强	bd	182703
量	ofd	182659
决	wnj	182185
形	fle	181938
像	jwx	179793
期	zhv	179147
资	weo	179062
队	tjr	178968
清	kav	178568
务	hs	178334
嗯	dr	177618
统	ibp	177617
书	aa	176786
书	aag	176786
市	zr	176693
司	afd	175965
师	pf	175349
师	pfr	175349
住	jin	174914
即	iz	174732
克	cp	174518
带	lw	174398
带	lwr	174398
飞	cf	174376
南	nmg	173976
区	nb	172883
李	ehi	171517
则	op	171333
觉	kwe	169198
交	ab	168754
社	fg	168640
今	jae	167181
基	zhg	166751
北	av	166550
展	cl	166457
展	clt	166457
传	jm	165533
传	jma	165533
连	yu	164968
叫	di	164919
治	kk	164364
治	kkd	164364
路	psg	164181
万	fp	163457
告	qd	163378
科	xj	162943
呢	dcv	162884
思	qh	162161
达	mu	160624
记	svj	160304
转	ym	158526
转	yma	158526
望	fv	157887
望	fvn	157887
边	su	157617
快	hn	157410
快	hnj	157410
风	obi	157370
色	xm	156975
该	sk	156331
界	qjp	155600
象	wx	155082
权	er	155024
拉	ui	154403
设	srs	154395
且	fq	153702
取	qr	153278
干	eg	152581
收	ih	151435
步	ssi	151199
领	jkw	151160
林	ee	150936
根	ei	150653
往	win	150362
亲	iem	150200
极	ec	150162
求	fk	150129
未	aw	149329
每	ek	149155
程	xdn	147264
式	pug	147073
兵	thb	146217
据	uc	145945
据	ucc	145945
类	pmd	145797
言	sy	145549
规	hej	145053
吧	dmb	144838
品	ddd	144373
确	mx	144024
确	mxt	144024
观	rej	143666
城	gna	143620
虽	dc	142916
失	th	142754
格	es	142741
远	mp	142311
远	mpu	142311
办	sh	141904
元	mpe	141813
运	buc	140981
令	jks	140980
共	lhb	140865
似	jvj	140530
准	wui	140114
请	sav	139641
武	fps	139488
士	gs	138835
改	vh	138819
英	lm	138132
术	eid	137596
车	yc	137446
石	ms	137428
深	kwh	137413
联	qhm	136093
争	xb	135717
吗	dn	135700
院	tw	135404
院	twm	135404
轻	yr	134820
轻	yru	134820
火	ch	134676
罗	yl	134230
百	fu	133494
夫	hf	133197
离	zb	133058
花	lj	132739
花	ljv	132739
近	tu	132395
切	rpd	131773
识	sdh	131505
造	qdu	131475
组	if	131373
流	kb	131111
流	kbo	131111
算	rql	130291
布	nrj	129291
导	vk	128877
早	on	128722
找	up	128596
候	jgn	128550
满	kl	128486
满	klm	128486
服	vz	127960
官	wk	127954
整	xhf	127770
爱	yw	127050
爱	ywn	127050
字	whi	126988
持	ugk	126772
跟	pig	126760
突	emq	126726
影	og	125837
消	kyv	125167
随	tn	125020
吃	de	125019
吃	dea	125019
商	im	124788
证	sf	123864
证	sfs	123864
单	hq	123586
议	sib	123237
越	pn	123116
存	ng	123061
存	ngh	123061
击	um	122799
精	pa	122091
精	pav	122091
济	kqq	121778
始	bkd	121732
台	kd	121708
黑	ph	121677
调	smg	121390
需	tle	120986
支	ci	120659
杀	bem	120603
团	rnt	120419
功	usl	120241
具	qhb	120113
华	jvn	119911
脸	vjk	119568
府	xjk	118416
集	ue	116601
周	mgd	116284
